# planet, insolation, period, radius, jupradius, discovery, status
Kepler-452 b, 1.108504328349358, 384.843, 1.568324324324324, 0.1399040432046676, Kepler, Confirmed
Kepler-1649 c, 0.942182868554978, 19.53527, 1.069217391304348, 0.0953806771903967, Kepler, Confirmed
Kepler-1544 b, 0.774586634012862, 168.811174, 1.7222702702702704, 0.1536369554210767, Kepler, Confirmed
Kepler-1410 b, 1.06, 60.866168, 1.78, 0.1587867975022301, Kepler, Confirmed
Kepler-296 f, 0.62, 63.33627, 1.8, 0.1605709188224799, Kepler, Confirmed
Kepler-283 c, 0.9663980818468296, 92.743711, 1.9445263157894737, 0.1734635428893375, Kepler, Confirmed
Kepler-62 f, 0.5093597448056312, 267.291, 1.5333749999999997, 0.1367863514719, Kepler, Confirmed
Kepler-442 b, 1.007495780054546, 112.3053, 1.3757333333333333, 0.1227237585489146, Kepler, Confirmed
Kepler-1652 b, 0.81, 38.09722, 1.6, 0.1427297056199821, Kepler, Confirmed
Kepler-186 f, 0.4040838876633094, 129.9441, 1.2015, 0.1071810883140053, Kepler, Confirmed
Kepler-441 b, 0.2418109319940377, 207.2482, 1.5684363636363634, 0.1399140377909334, Kepler, Confirmed
Kepler-1229 b, 0.6299992355397823, 86.828989, 1.5564705882352938, 0.1388466180406149, Kepler, Confirmed
K2-3 d, 1.0033499809041786, 44.55646, 1.4999464285714286, 0.1338043201223397, K2, Confirmed
TRAPPIST-1 h, 0.14, 18.772866, 0.755, 0.067350579839429, Multiple Observatories, Confirmed
LP 890-9 c, 0.91, 8.457463, 1.367, 0.1219446922390722, SPECULOOS Southern Observatory, Confirmed
TRAPPIST-1 g, 0.25, 12.352446, 1.129, 0.1007136485280999, Multiple Observatories, Confirmed
LHS 1140 b, 0.5, 24.73694, 1.635, 0.1458519179304192, MEarth Project, Confirmed
TRAPPIST-1 f, 0.37, 9.20754, 1.045, 0.0932203389830508, Multiple Observatories, Confirmed
TRAPPIST-1 e, 0.65, 6.101013, 0.92, 0.0820695807314897, Multiple Observatories, Confirmed
TRAPPIST-1 d, 1.11, 4.049219, 0.788, 0.0702943800178412, La Silla Observatory, Confirmed
TOI-700 d, 0.85, 37.42475, 1.144, 0.1020517395182872, TESS, Confirmed
